id,address,street,city,state,zip,lon,lat,cluster_id,n_points,last_time,distance_m,hull_area_deg2
119664363,"400 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4317676,38.2894259,2,41440,,0.0,13.223299363974721
119664364,"61 HACKBERRY Court, LOUISVILLE, KY, 40245",HACKBERRY Court,LOUISVILLE,KY,40245,-85.430662,38.2921191,2,41440,,0.0,13.223299363974721
119664365,"55 HACKBERRY Court, LOUISVILLE, KY, 40245",HACKBERRY Court,LOUISVILLE,KY,40245,-85.4308898,38.2924124,2,41440,,0.0,13.223299363974721
119664801,"600 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4311834,38.2886758,2,41440,,0.0,13.223299363974721
119671452,"1251 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4282827,38.286528,2,41440,,0.0,13.223299363974721
119676085,"319 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4313198,38.2912525,2,41440,,0.0,13.223299363974721
119683002,"1600 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4289556,38.283451,2,41440,,0.0,13.223299363974721
119683003,"317 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4312617,38.2915937,2,41440,,0.0,13.223299363974721
119689505,"283 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.434099,38.294581,2,41440,,0.0,13.223299363974721
119689649,"2808 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4444147,38.2780544,2,41440,,0.0,13.223299363974721
119689661,"9425 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.4149756,38.2948558,2,41440,,0.0,13.223299363974721
119689662,"9420 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.4208226,38.2931287,2,41440,,0.0,13.223299363974721
119689663,"19 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4344293,38.282207,2,41440,,0.0,13.223299363974721
119689664,"70 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4377983,38.2874474,2,41440,,0.0,13.223299363974721
119689665,"117 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4483994,38.2916358,2,41440,,0.0,13.223299363974721
119689666,"131 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4501239,38.2931691,2,41440,,0.0,13.223299363974721
119689667,"135 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4504773,38.2933485,2,41440,,0.0,13.223299363974721
119689668,"143 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4509703,38.2943325,2,41440,,0.0,13.223299363974721
119689669,"168 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4479079,38.2941938,2,41440,,0.0,13.223299363974721
119689670,"188 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4447455,38.2953195,2,41440,,0.0,13.223299363974721
119689671,"301 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4332814,38.2938697,2,41440,,0.0,13.223299363974721
119689672,"306 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4326704,38.2926496,2,41440,,0.0,13.223299363974721
119689673,"308 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4323479,38.2924,2,41440,,0.0,13.223299363974721
119690106,"8393 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4189695,38.2850435,2,41440,,0.0,13.223299363974721
